country,sect,t,upstreamness,downstreamness,u_n,u_d,d_n,d_d,source
USA,16.0,2017,1.66710950587832,1.99420426739696,201171.612713776,120670.904943217,273162.974636896,136978.432502031,ADB
USA,16.0,2018,1.71404914218142,2.02653569075312,203938.510758372,118980.550638604,265242.450255678,130884.667596013,ADB
USA,16.0,2019,1.68321567578575,1.93875433844146,216277.326694003,128490.561135632,270315.468526871,139427.395811361,ADB
USA,16.0,2020,1.46675055593171,1.92972955084722,183490.745199409,125100.170889556,310633.44735,160972.52965506,ADB
USA,16.0,2021,1.45296114656773,2.02129366004703,186046.69029057,128046.569400744,349121.105444436,172721.615045442,ADB
USA,16.0,2022,1.44355021754804,2.04515762412781,197849.065682359,137057.279530197,388932.716100675,190172.489157916,ADB
USA,16.0,2023,1.47591254520761,1.92211425405619,219840.320816577,148952.132381024,362945.665930895,188826.270428503,ADB
USA,16.0,2024,1.46587385216797,1.92197828957894,233996.831199863,159629.582623219,388089.985438676,201922.148414953,ADB
USA,17.0,2000,2.14413616383611,1.93703724210254,387078.395437347,180528.831128345,265912.31641967,137277.854364347,ADB
USA,17.0,2007,1.98974055743564,1.90187580103637,465364.335246683,233881.916668795,381250.529366516,200460.266206009,ADB
USA,17.0,2008,2.01991084211116,1.97053487052825,485289.241613024,240252.802992934,421458.580457253,213880.295528224,ADB
USA,17.0,2009,1.81963766060772,1.62671343208908,459383.28039854,252458.657206026,321718.823211064,197772.279287017,ADB
USA,17.0,2010,1.87263950097461,1.67323135621342,502168.121309818,268160.594203244,345146.199123716,206275.239728231,ADB
USA,17.0,2011,1.86249340473056,1.59822300352254,508675.039985902,273115.082552193,323310.540670466,202293.759980852,ADB
USA,17.0,2012,1.85041596563543,1.54028348069253,487680.025030399,263551.565749127,292737.946014844,190054.590394767,ADB
USA,17.0,2013,1.85506105077348,1.60585584021841,503124.786834016,271217.374018088,325276.638650165,202556.562366099,ADB
USA,17.0,2014,1.86588054950265,1.62418983199385,524972.203481868,281353.596628573,348533.905037435,214589.389843413,ADB
USA,17.0,2015,1.82504075401404,1.53110442258056,519785.068364182,284807.376065961,321651.029048102,210077.787187097,ADB
USA,17.0,2016,1.81051749311518,1.47252450999999,525237.881442278,290103.731910678,304621.795334083,206870.441385105,ADB
USA,17.0,2017,1.87545580569393,1.67483012831916,584103.632905439,311446.226102523,409103.725944923,244265.802858166,ADB
USA,17.0,2018,1.82989640890611,1.64709568855384,584903.987530619,319637.759101494,398403.828344117,241882.624739257,ADB
USA,17.0,2019,1.77329338517258,1.70422273024785,590205.585759257,332830.196454953,506283.8955056,297076.131258952,ADB
USA,17.0,2020,1.97953919612961,1.54452117639555,559955.203573313,282871.490833895,272016.402306908,176116.978170356,ADB
USA,17.0,2021,1.98850766161332,1.56818589777731,629460.999703291,316549.446529462,312698.768039858,199401.594213458,ADB
USA,17.0,2022,2.00953549466549,1.60416602008365,721069.662822765,358824.049008796,363633.846021429,226680.930445383,ADB
USA,17.0,2023,1.95206770089927,1.44640238799364,706736.214807293,362044.930348325,308600.373597647,213357.206928923,ADB
USA,17.0,2024,1.93900027032737,1.45021202608362,687468.388603039,354547.855987131,306097.366458142,211070.768241231,ADB
USA,18.0,2000,1.20322650734113,2.0034309646687,555260.423679696,461476.222716119,1602897.63096794,800076.298727371,ADB
USA,18.0,2007,1.24734893073924,1.99280761190393,893957.192916438,716685.741163571,2240431.57590536,1124258.84090479,ADB
USA,18.0,2008,1.26319956555593,2.03182373222377,832243.984142675,658838.086107484,2146477.73534335,1056429.10913049,ADB
USA,18.0,2009,1.27235738785386,1.90281394244653,749053.251712306,588712.93463841,1694602.64900069,890577.166373853,ADB
USA,18.0,2010,1.30674551784495,1.94893828382545,709232.583708015,542747.286309933,1564721.52800629,802858.428608113,ADB
USA,18.0,2011,1.32152075823488,1.96044403211934,723802.598889662,547704.297779192,1556550.23283665,793978.408633243,ADB
