disaster_subtype,event_name,start_date,end_date,affected_states,magnitude_kph,total_damage_adjusted
Severe weather,2016_mar_storm3,2016/3/22,2016/3/25,"Alabama, Arkansas, Florida, Louisiana, Mississippi, Oklahoma, Texas",,3006095
Severe weather,2016_mar_storm1,2016/3/4,2016/3/12,"Alabama, Arkansas, California, Kentucky, Louisiana, Mississippi, Ohio, Oklahoma, Tennessee, Texas",,2091197
Lightning/Thunderstorms,2016_apr_storm1,2016/4/10,2016/4/15,"Arkansas, Kansas, Louisiana, Mississippi, Missouri, Oklahoma, Texas",,5097292
Lightning/Thunderstorms,2016_apr_storm2,2016/4/25,2016/5/4,"Arkansas, Georgia, Illinois, Kansas, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, Texas, Virginia, West Virginia",,3136795
Hail,2016_may_storm2,2016/5/21,2016/5/28,"Colorado, Kansas, Missouri, Montana, Texas, Washington",,1437698
Tornado,2016_may_storm1,2016/5/8,2016/5/11,"Arkansas, Colorado, Illinois, Iowa, Kansas, Kentucky, Missouri, Nebraska, Oklahoma, Tennessee, Texas",,2221896
Storm (General),2016_jun_storm1,2016/6/22,2016/6/24,"Illinois, Indiana, Ohio, Virginia, West Virginia, Wisconsin",,1306998
Tropical cyclone,Hermine_2,2016/9/1,2016/9/6,"Florida, Georgia, New Jersey, New York, North Carolina, South Carolina, Virginia",85,784199
Severe weather,2017_jan_storm2,2017/1/18,2017/1/23,"Alabama, Florida, Georgia, Louisiana, Mississippi",,1407712
Blizzard/Winter storm,2017_jan_storm1,2017/1/6,2017/1/13,"California, Colorado, Idaho, Nevada, Oregon, Utah",,511895
Tropical cyclone,Nate,2017/10/7,2017/10/8,"Alabama, Florida, Louisiana, Mississippi, North Carolina, South Carolina",140,319934
Lightning/Thunderstorms,2017_nov_storm1,2017/11/5,2017/11/6,"Delaware, Illinois, Indiana, Missouri, Ohio, Pennsylvania, Washington",,332732
Blizzard/Winter storm,2017_dec_storm1,2017/12/31,2018/1/5,"Georgia, Maryland, Massachusetts, Michigan, Mississippi, Missouri, New Jersey, New York, North Carolina, Texas, Virginia",,1407712
Tornado,2017_feb_storm2,2017/2/27,2017/3/2,"Alabama, Arkansas, Georgia, Illinois, Indiana, Iowa, Kentucky, Michigan, Missouri, North Carolina, Ohio, South Carolina, Tennessee, Virginia, West Virginia",,2431502
Storm (General),2017_feb_storm1,2017/2/8,2017/2/21,California,,1919607
Blizzard/Winter storm,2017_mar_storm2,2017/3/13,2017/3/15,"Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia",,1279738
Tornado,2017_mar_storm3,2017/3/25,2017/3/28,"Alabama, Georgia, Indiana, Kansas, Kentucky, Mississippi, Oklahoma, Tennessee, Texas",175,3455292
Hail,2017_mar_storm1,2017/3/6,2017/3/9,"Arkansas, Illinois, Indiana, Iowa, Kansas, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, New York, Ohio, Oklahoma, Pennsylvania, Wisconsin",130,2815423
Hail,2017_may_storm1,2017/5/9,2017/5/11,"Colorado, Missouri, New Mexico, Oklahoma, Texas",130,3967187
Lightning/Thunderstorms,2017_jun_storm2,2017/6/25,2017/6/29,"Arkansas, Colorado, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Minnesota, Missouri, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia",170,1791633
Lightning/Thunderstorms,2017_jun_storm1,2017/6/9,2017/6/12,"Michigan, Minnesota, North Dakota, South Dakota, Wisconsin",135,2559476
Tropical cyclone,Harvey,2017/8/25,2017/8/29,"Colorado, Louisiana, Texas, Washington",215,121575099
Tornado,2017_aug_storm1,2017/8/5,2017/8/8,"Kansas, Louisiana, Missouri, Oklahoma, Texas",,255948
Tropical cyclone,Irma,2017/9/10,2017/9/28,"Florida, Georgia, South Carolina",300,72945059
Blizzard/Winter storm,2018_jan_storm2,2018/1/21,2018/1/24,"Colorado, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Oklahoma, South Dakota",,62461
Blizzard/Winter storm,2018_jan_storm1,2018/1/3,2018/1/5,"Connecticut, Georgia, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Tennessee, Virginia",,1249226
Tropical cyclone,Michael,2018/10/10,2018/10/11,"Alabama, Florida, Georgia, Maryland, North Carolina, Virginia",250,19987609
Blizzard/Winter storm,2018_dec_storm1,2018/12/26,2018/12/28,"Iowa, Kansas, Louisiana, Minnesota, New Mexico, Tennessee, Texas",,187384
Blizzard/Winter storm,2018_mar_storm1,2018/3/1,2018/3/3,"Connecticut, Delaware, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Virginia",110,2873219
Storm (General),2018_apr_storm1,2018/4/13,2018/4/15,"Arkansas, Florida, Georgia, Louisiana, Maryland, Michigan, Mississippi, Missouri, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Texas, Virginia",,1623993
Storm (General),2018_may_storm1,2018/5/13,2018/5/15,"Colorado, Connecticut, Illinois, Indiana, Iowa, Kansas, Maryland, Massachusetts, Missouri, New Jersey, New York, Oklahoma, Pennsylvania, Texas, Virginia, Washington, West Virginia",110,1811377
Tropical cyclone,Tropical storm 'Alberto',2018/5/27,2018/5/30,"Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,156153
Tornado,2018_jul_storm1,2018/7/19,2018/7/22,"Alabama, Arkansas, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Maryland, Missouri, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia",,1873838
Lightning/Thunderstorms,2018_aug_storm1,2018/8/6,2018/8/7,"Colorado, Nebraska, Wyoming",,1249226
Tropical cyclone,Hurricane Florence,2018/9/12,2018/9/18,"North Carolina, South Carolina, Virginia",,17489158
Sand/Dust storm,2019_jan_storm1,2019/1/18,2019/1/21,"Connecticut, Illinois, Indiana, Iowa, Kansas, Maine, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, New Hampshire, New Jersey, New York, North Dakota, Ohio, Pennsylvania, Rhode Island, South Dakota, Vermont, Wisconsin",,122699
Severe weather,2019_oct_storm1,2019/10/20,2019/10/21,"Arkansas, Louisiana, Missouri, Oklahoma, Tennessee, Texas",220,3190172
Severe weather,2019_dec_storm1,2019/12/16,2019/12/18,"Alabama, Florida, Georgia, Indiana, Kansas, Louisiana, Mississippi, Missouri, Nebraska",260,288342
Lightning/Thunderstorms,2019_feb_storm1,2019/2/23,2019/2/25,"Alabama, Connecticut, Illinois, Indiana, Maryland, Massachusetts, Mississippi, New Jersey, New York, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia",,1472387
Tornado,2019_mar_storm1,2019/3/3,2019/3/4,"Alabama, Florida, Georgia, Mississippi, South Carolina",,233128
